TICKER,DURATION,PERIODEND,INDEXNAME,VALUE,CUMULATIVEVALUE,COMMENT,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
ADBE,Custom Quarter,03/09/16,Global Transaction Index,3.332964966,6.573241431,,00:00.0,,
ADBE,Custom Quarter,03/12/16,Global Transaction Index,3.666116302,10.23935773,,00:00.0,,
ADBE,Custom Quarter,04/03/17,Global Transaction Index,3.91746827,14.156826,,00:00.0,,
ADBE,Custom Quarter,03/06/17,Global Transaction Index,4.238540855,18.39536686,,00:00.0,,
ADBE,Custom Quarter,02/09/17,Global Transaction Index,4.443916514,22.83928337,,00:00.0,0.3333223,
ADBE,Custom Quarter,02/12/17,Global Transaction Index,4.786620602,27.62590398,,00:00.0,0.305637958,
ADBE,Custom Quarter,03/03/18,Global Transaction Index,4.946119631,32.57202361,,00:00.0,0.262580649,
ADBE,Custom Quarter,02/06/18,Global Transaction Index,5.340397154,37.91242076,,00:00.0,0.259961231,
ADBE,Custom Quarter,01/09/18,Global Transaction Index,5.425988418,43.33840918,,00:00.0,0.220992429,
ADBE,Custom Quarter,01/12/18,Global Transaction Index,5.879400496,49.21780967,,00:00.0,0.228298832,
ADBE,Custom Quarter,02/03/19,Global Transaction Index,6.236361405,55.45417108,,00:00.0,0.260859395,
ADBE,Custom Quarter,01/06/19,Global Transaction Index,6.556508359,62.01067944,,00:00.0,0.227719245,
ADBE,Custom Quarter,31/08/19,Global Transaction Index,6.812511083,68.82319052,,00:00.0,0.255533657,
ADBE,Custom Quarter,30/11/19,Global Transaction Index,7.403122863,76.22631338,,00:00.0,0.25916288,
ADBE,Custom Quarter,29/02/20,Global Transaction Index,7.870633795,84.09694718,,00:00.0,0.262055433,
ADBE,Custom Quarter,30/05/20,Global Transaction Index,8.360757327,92.45770451,,00:00.0,0.275184423,
ADBE,Custom Quarter,29/08/20,Global Transaction Index,9.034319752,101.4920243,,00:00.0,0.326136522,
ADBE,Custom Quarter,28/11/20,Global Transaction Index,9.634395085,111.1264193,,00:00.0,0.301396082,
ADBE,Custom Quarter,06/03/21,Global Transaction Index,11.26001496,122.3864343,,00:00.0,0.430636369,
ADBE,Custom Quarter,05/06/21,Global Transaction Index,10.72330478,133.1097391,,15:00.0,0.282575771,
ADBE,Custom Quarter,04/09/21,Global Transaction Index,11.02380102,144.1335401,,15:00.0,0.220213732,
ADBE,Custom Quarter,04/12/21,Global Transaction Index,11.65166378,155.7852039,,15:00.0,0.209381978,
ADBE,Custom Quarter,05/03/22,Global Transaction Index,12.0649003,167.8501042,,15:00.0,0.071481729,
ADBE,Custom Quarter,04/06/22,Global Transaction Index,12.40154137,180.2516455,,15:00.0,0.156503674,
ADBE,Custom Quarter,03/09/22,Global Transaction Index,12.54843033,192.8000759,,15:00.0,0.138303413,
